INSTRUCTION   |    src1.py    |    src2.py    |    src3.py   
LOAD_CONST    |       8       |       6       |       6      
CALL_FUNCTION |       2       |       3       |       4      
LOAD_FAST     |       5       |       3       |       4      
JUMP_ABSOLUTE |       1       |       1       |       1      
STORE_NAME    |       2       |       2       |       2      
POP_TOP       |       1       |       1       |       1      
RETURN_VALUE  |       2       |       2       |       2      
GET_ITER      |       0       |       1       |       1      
LOAD_METHOD   |       1       |       1       |       0      
FOR_ITER      |       0       |       1       |       1      
IMPORT_NAME   |       1       |       1       |       1      
LOAD_NAME     |       2       |       2       |       2      
LOAD_ATTR     |       0       |       0       |       1      
INPLACE_ADD   |       2       |       1       |       1      
COMPARE_OP    |       1       |       0       |       0      
LOAD_GLOBAL   |       1       |       2       |       2      
MAKE_FUNCTION |       1       |       1       |       1      
STORE_FAST    |       4       |       3       |       4      
CALL_METHOD   |       1       |       1       |       0      
POP_JUMP_IF_F |       1       |       0       |       0      
